segment_id,country_code,road_class_norm,land_use,speed_limit,ss_limit,speed_85th,pct_over_limit,sss,sss_band,anomaly_score,anomaly_flag,anomaly_reason
TR/12010,MH,trunk,rural,40.0,90.0,87.33333333333333,0.0,46.06126577777778,Moderate,72.83723105578906,True,AI flags: large gap between F85 speed and posted limit; ss limit; ss gap
PR/3648,MH,primary,rural,30.0,60.0,68.5,0.0,48.209759999999996,Moderate,67.89013331471044,True,AI flags: large gap between F85 speed and posted limit; ss gap; median speed significantly above posted limit
SE/10652,MH,secondary,rural,20.0,60.0,26.5,0.34519307244071484,31.459885333333332,Acceptable,65.69283739534275,True,AI flags: ss gap; speed limit; posted limit far above Safe System standard
TR/12530,MH,trunk,rural,50.0,90.0,98.0,0.0,44.50571022222222,Moderate,66.97190313786572,True,AI flags: ss limit; large gap between F85 speed and posted limit; ss gap
PR/771,MH,primary,rural,55.0,50.0,31.5,0.0,23.709759999999996,Acceptable,38.5329001093314,True,AI flags: drivers operating far above posted limit; high spread between median and 85th pct speed; speed 85th
TR/11052,MH,trunk,rural,20.0,80.0,70.0,0.0,48.083488,Moderate,89.87741672526978,True,AI flags: large gap between F85 speed and posted limit; ss gap; median speed significantly above posted limit
TR/13535,MH,trunk,rural,40.0,90.0,72.33333333333333,0.5411660845200169,46.06126577777778,Moderate,56.04965506240309,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
PR/1003,MH,primary,rural,45.0,60.0,59.25,0.7504372813593203,26.264447499999992,Acceptable,40.27614713473765,True,AI flags: pct over limit; ss gap; high spread between median and 85th pct speed
TR/13536,MH,trunk,rural,55.0,90.0,99.0,1.0,43.72793244444445,Moderate,56.50345095708398,True,AI flags: ss limit; large gap between F85 speed and posted limit; ss gap
PR/3860,MH,primary,urban,40.0,50.0,56.0,0.65,37.05221295272727,Moderate,44.66326891768902,True,AI flags: speed limit; ss gap; large gap between F85 speed and posted limit
TR/13619,MH,trunk,rural,30.0,90.0,53.75,0.3519404679832921,47.616821333333334,Moderate,60.330518716448935,True,AI flags: ss limit; ss gap; large gap between F85 speed and posted limit
TR/11565,MH,trunk,rural,55.0,90.0,96.5,1.0,43.72793244444445,Moderate,52.58296941785764,True,AI flags: ss limit; large gap between F85 speed and posted limit; ss gap
